"stationName","lineName","operatorName","stationCode","externalCode","branchKey","destinationName","displayLabel","previousStation","nextStation","priority","isActive","note","searchTokens"
"일산","서해선","코레일","108C","S07","서해선-본선","원시행","일산역 서해선 원시행","","풍산","1","true","단순 본선","서해선|서해선역|원시|원시행|원시행역|일산|일산역|일산역 서해선 원시|일산역 서해선 원시행|일산역 서해선 원시행역"
"수원","수인분당선","코레일","","","수인분당-남부","인천행","수원역 수인분당선 인천행","매교","고색","1","true","남행 기준","수원|수원역|수원역 수인분당선 인천|수원역 수인분당선 인천행|수원역 수인분당선 인천행역|수인분당선|수인분당선역|인천|인천행|인천행역"
"왕십리","수인분당선","코레일","","","수인분당-북부","인천행","왕십리역 수인분당선 인천행","청량리","서울숲","1","true","남행 기준","수인분당선|수인분당선역|왕십리|왕십리역|왕십리역 수인분당선 인천|왕십리역 수인분당선 인천행|왕십리역 수인분당선 인천행역|인천|인천행|인천행역"
"인천","수인분당선","코레일","","","수인분당-남부","청량리행","인천역 수인분당선 청량리행","신포","","1","true","북행 기준","수인분당선|수인분당선역|인천|인천역|인천역 수인분당선 청량리|인천역 수인분당선 청량리행|인천역 수인분당선 청량리행역|청량리|청량리행|청량리행역"
"청량리","수인분당선","코레일","","","수인분당-북부","인천행","청량리역 수인분당선 인천행","","왕십리","1","true","남행 기준","수인분당선|수인분당선역|인천|인천행|인천행역|청량리|청량리역|청량리역 수인분당선 인천|청량리역 수인분당선 인천행|청량리역 수인분당선 인천행역"
"관악산(서울대)","신림선","남서울경전철주식회사","","","신림선-본선","샛강행","관악산(서울대)역 신림선 샛강행","서울대벤처타운","","1","true","단순 본선","관악산(서울대)|관악산(서울대)역|관악산(서울대)역 신림선 샛강|관악산(서울대)역 신림선 샛강행|관악산(서울대)역 신림선 샛강행역|샛강|샛강행|샛강행역|신림선|신림선역"
"샛강","신림선","남서울경전철주식회사","4401","S401","신림선-본선","관악산(서울대)행","샛강역 신림선 관악산(서울대)행","","대방","1","true","단순 본선","관악산(서울대)|관악산(서울대)행|관악산(서울대)행역|샛강|샛강역|샛강역 신림선 관악산(서울대)|샛강역 신림선 관악산(서울대)행|샛강역 신림선 관악산(서울대)행역|신림선|신림선역"
"강남","신분당","네오트랜스주식회사","","","신분당-본선","광교행","강남역 신분당 광교행","신논현","양재(서초구청)","1","true","남행 기준","강남|강남역|강남역 신분당 광교|강남역 신분당 광교행|강남역 신분당 광교행역|광교|광교행|광교행역|신분당|신분당역"
"광교(경기대)","신분당","네오트랜스주식회사","","","신분당-본선","신사행","광교(경기대)역 신분당 신사행","광교중앙(아주대)","","1","true","북행 기준","광교(경기대)|광교(경기대)역|광교(경기대)역 신분당 신사|광교(경기대)역 신분당 신사행|광교(경기대)역 신분당 신사행역|신분당|신분당역|신사|신사행|신사행역"
"신사","신분당","네오트랜스주식회사","","","신분당-본선","광교행","신사역 신분당 광교행","","논현","1","true","남행 기준","광교|광교행|광교행역|신분당|신분당역|신사|신사역|신사역 신분당 광교|신사역 신분당 광교행|신사역 신분당 광교행역"
"기흥(백남준아트센터)","용인경전철","용인경량전철주식회사","","","에버라인-본선","전대.에버랜드행","기흥(백남준아트센터)역 용인경전철 전대.에버랜드행","","강남대","1","true","단순 본선","기흥(백남준아트센터)|기흥(백남준아트센터)역|기흥(백남준아트센터)역 용인경전철 전대.에버랜드|기흥(백남준아트센터)역 용인경전철 전대.에버랜드행|기흥(백남준아트센터)역 용인경전철 전대.에버랜드행역|용인경전철|용인경전철역|전대.에버랜드|전대.에버랜드행|전대.에버랜드행역"
"전대.에버랜드","용인경전철","용인경량전철주식회사","","","에버라인-본선","기흥행","전대.에버랜드역 용인경전철 기흥행","둔전","","1","true","단순 본선","기흥|기흥행|기흥행역|용인경전철|용인경전철역|전대.에버랜드|전대.에버랜드역|전대.에버랜드역 용인경전철 기흥|전대.에버랜드역 용인경전철 기흥행|전대.에버랜드역 용인경전철 기흥행역"
"북한산우이","우이신설경전철","우이신설경전철주식회사","","","우이신설-본선","신설동행","북한산우이역 우이신설경전철 신설동행","","솔밭공원","1","true","단순 본선","북한산우이|북한산우이역|북한산우이역 우이신설경전철 신설동|북한산우이역 우이신설경전철 신설동행|북한산우이역 우이신설경전철 신설동행역|신설동|신설동행|신설동행역|우이신설경전철|우이신설경전철역"
"신설동","우이신설경전철","우이신설경전철주식회사","","","우이신설-본선","북한산우이행","신설동역 우이신설경전철 북한산우이행","보문","","1","true","단순 본선","북한산우이|북한산우이행|북한산우이행역|신설동|신설동역|신설동역 우이신설경전철 북한산우이|신설동역 우이신설경전철 북한산우이행|신설동역 우이신설경전철 북한산우이행역|우이신설경전철|우이신설경전철역"
"발곡","의정부경전철","의정부경량전철주식회사","","","의정부-본선","탑석행","발곡역 의정부경전철 탑석행","","회룡","1","true","단순 본선","발곡|발곡역|발곡역 의정부경전철 탑석|발곡역 의정부경전철 탑석행|발곡역 의정부경전철 탑석행역|의정부경전철|의정부경전철역|탑석|탑석행|탑석행역"
"탑석","의정부경전철","의정부경량전철주식회사","","","의정부-본선","발곡행","탑석역 의정부경전철 발곡행","송산","","1","true","단순 본선","발곡|발곡행|발곡행역|의정부경전철|의정부경전철역|탑석|탑석역|탑석역 의정부경전철 발곡|탑석역 의정부경전철 발곡행|탑석역 의정부경전철 발곡행역"
"계양","인천1호선","인천교통공사","","","인천1호선-본선","송도달빛축제공원행","계양역 인천1호선 송도달빛축제공원행","","귤현","1","true","단순 본선","계양|계양역|계양역 인천1호선 송도달빛축제공원|계양역 인천1호선 송도달빛축제공원행|계양역 인천1호선 송도달빛축제공원행역|송도달빛축제공원|송도달빛축제공원행|송도달빛축제공원행역|인천1호선|인천1호선역"
